"Count","Name"
"1127","CHICKAMAUGA RES"
"462","WATTS BAR"
"413","CANEY FORK RIVER"
"388","DALE HOLLOW RES"
"338","KENTUCKY LAKE"
"335","BOONE RES"
"323","NICKAJACK"
"258","PRIVATE POND"
"239","NICKAJACK RES"
"217","CHEROKEE RES"
"190","FT. LOUDOUN"
"185","WATTS BAR RES"
"180","OLD HICKORY RES"
"156","NORRIS LAKE"
"155","CLINCH RIVER"
"153","BARKLEY RES"
"152","DOUGLAS RES"
"140","HOLSTON RIVER"
"140","WATAUGA LAKE"
"130","CENTER HILL RES"
"116","KENTUCKY RES"
"110","OLD HICKORY"
"110","PERCY PRIEST"
"108","MELTON HILL"
"106","CHEATHAM RES"
"103","SOUTH HOLSTON LAKE"
"101","PERCY PRIEST RES"
"96","GUNTERSVILLE"
"84","FARM POND"
"77","TIMS FORD RES"
"76","PRIVATE LAKE"
"74","FRENCH BROAD RIVER"
"73","TELLICO LAKE"
"69","PARKSVILLE LAKE"
"64","LAKE TANSI"
"60","SOUTH HOLSTON RIVER"
"56","DUCK RIVER"
"55","TIMS FORD"
"53","FT. PATRICK HENRY RES"
"53","NORRIS RES"
"53","CHILHOWEE RES"
"52","LITTLE PIGEON RIVER"
"51","WATTS BAR RESERVOIR"
"49","HIWASSEE RIVER"
"48","PIGEON RIVER"
"47","FT. LOUDOUN RES"
"46","FT. PATRICK HENRY"
"46","NICKAJACK RESERVOIR"
"45","S. FORK HOLSTON RIVER"
"43","CORDELL HULL RES"
"43","ELK RIVER"
"40","STONES RIVER"
"39","MELTON HILL RES"
"39","REELFOOT LAKE"
"38","COLLINS RIVER"
"38","BARREN FORK RIVER"
"37","WATAUGA RES"
"37","GUNTERSVILLE RES"
"34","FALL CREEK FALLS LAKE"
"33","WATAUGA RIVER"
"32","TELLICO RES"
"31","FT LOUDON RES"
"30","SOUTH HOLSTON RES"
"30","FT PATRICK HENRY RES"
"28","WOODS RESERVOIR"
"24","BUFFALO RIVER"
"23","NOLICHUCKY RIVER"
"23","NORMANDY RES"
"22","WATTS BAR LAKE"
"22","PICKWICK RES"
"22","LAUREL HILL LAKE"
"22","OLD HICKORY LAKE"
"21","MELTON HILL RESERVOIR"
"21","GIBSON COUNTY LAKE"
"21","EMORY RIVER"
"20","HARPETH RIVER"
"20","RICHLAND CREEK"
"19","WOODS RES"
"19","GUNTERSVILLE RESERVOIR"
"19","OCOEE RIVER"
"18","WILLIAMSPORT LAKE"
"18","NORMANDY  LAKE"
"17","LAKE PLACID"
"17","MISSISSIPPI RIVER"
"17","YELLOW CREEK"
"16","LAKE DARTMOOR"
"16","WATERSHED LAKE"
"16","PICKWICK LAKE"
"15","PERCY PRIEST RESERVOIR"
"15","MARROWBONE LAKE"
"14","FT. LOUDOUN RESERVOIR"
"14","PARKSVILLE RES"
"14","OBEY RIVER"
"13","BROWNS CREEK LAKE"
"12","MELTON HILL LAKE"
"12","CARROLL COUNTY LAKE"
"12","LAKE WOODHAVEN"
"12","PINEY RIVER"
"12","FT. PATRICK HENRY RESERVOIR"
"12","NEW LAKE"
"12","SYCAMORE CREEK"
"11","GLENN SPRINGS LAKE"
"11","NORRIS RESERVOIR"
"10","COUCHVILLE LAKE"
"10","TELLICO RIVER"
"10","RED RIVER"
"10","OLD HICKORY RESERVOIR"
"10","LITTLE RIVER"
"10","KENTUCKY RESERVOIR"
"9","S. HOLSTON RIVER"
"9","JONES CREEK"
"9","SOUTH FORK HOLSTON RIVER"
"9","MEADOW PARK LAKE"
"9","SMITH FORK CREEK"
"9","SWAN CREEK"
"9","BEECH LAKE"
"9","WOLF RIVER"
"9","WATAUGA RESERVOIR"
"8","FT. PATRICK HENRY LAKE"
"8","GARRETT LAKE"
"8","TELLICO RESERVOIR"
"7","DYER LAKE"
"7","LAKE HALFORD"
"7","LUTHER LAKE"
"7","TENNESSEE RIVER"
"7","LAKE GRAHAM"
"7","TIMS FORD RESERVOIR"
"7","INDIAN CREEK"
"7","ROCKY FORK CREEK"
"7","BEDFORD LAKE"
"7","LAKE HOLIDAY"
"6","POWELL RIVER"
"6","SULPHUR FORK CREEK"
"6","OBION RIVER"
"6","NORTON CREEK"
"6","NORRIS  LAKE"
"6","SOUTH INDIAN CREEK"
"6","HORSE CREEK"
"6","SOUTH HARPETH RIVER"
"6","LITTLE SWAN CREEK"
"6","MILL CREEK"
"5","HATCHIE RIVER"
"5","STEELE CREEK PARK LAKE"
"5","CANEY FORK RES"
"5","CLINGHAM LAKE"
"5","COVE LAKE STATE PARK"
"5","NORTH INDIAN CREEK"
"5","TIMS FORD LAKE"
"5","PICKWICK RESERVOIR"
"5","BALD RIVER"
"5","ECHO LAKE"
"5","WHITEVILLE LAKE"
"5","HERB PARSONS LAKE"
"5","CALFKILLER RIVER"
"4","BEECH CREEK"
"4","LAKE KIRKSTONE"
"4","SOUTH HOLSTON RESERVOIR"
"4","BUSHMAN CREEK"
"4","LAKE BRECKINRIDGE"
"4","SHOAL CREEK"
"4","REELFOOT RES"
"4","SPRING LAKE"
"4","N. CHICKAMAUGA CREEK"
"4","BLUEWATER CATFISH FARM"
"4","BIG CREEK LAKE"
"4","E. FORK STONES RIVER"
"4","VFW LAKE"
"4","SOUTH CHICKAMAUGA CREEK"
"4","OCOEE LAKE"
"4","NICKAJACK LAKE"
"3","LITTLE EMORY RIVER"
"3","SHELLCRACKER LAKE WILLIAMSPORT"
